Wed Nov 30 03:40:08 2022    output.dat

         3241988 function calls (3236178 primitive calls) in 47.179 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1126    0.001    0.000    0.006    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\__init__.py:2044(<genexpr>)
      459    0.001    0.000    0.013    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\genericpath.py:39(isdir)
        1    0.001    0.001    0.006    0.006 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\sysfont.py:61(initsysfonts_win32)
      181    0.001    0.000    0.003    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\sysfont.py:119(_parse_font_entry_win)
     2392    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:249(match)
      371    0.001    0.000    0.004    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\GameMap.py:50(moveTroopsBetweenFriendlyTerrirories)
 1202/100    0.001    0.000    0.002    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\GameMap.py:44(<lambda>)
      155    0.001    0.000    0.013    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\IA.py:33(sort_bsr_descendant)
      162    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\__init__.py:670(add)
      479    0.001    0.000    0.002    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\ntpath.py:203(splitext)
       47    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:950(get_code)
      326    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      180    0.000    0.000    0.067    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\__init__.py:2032(find_on_path)
      567    0.000    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\__init__.py:2635(key)
     1086    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FF8DF50B920}
     1178    0.000    0.000    0.000    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Territory.py:33(gainTroops)
     3372    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
    111/5    0.000    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3319(streamline)
     1326    0.000    0.000    0.000    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:282(<genexpr>)
      362    0.000    0.000    0.001    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\GameMap.py:28(getFriendlyTerritoryNeighbours)
      456    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      133    0.000    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3260(__init__)
     1194    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       46    0.000    0.000    0.014    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\ui_appearance_theme.py:119(check_need_to_reload)
     2817    0.000    0.000    0.000    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\IA.py:79(<lambda>)
      519    0.000    0.000    0.000    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\elements\ui_selection_list.py:394(process_event)
      145    0.000    0.000    0.003    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\pathlib.py:567(_parse_args)
       63    0.000    0.000    0.034    0.001 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:759(compile)
